tcz	en	dice	tcz_freq
seth	seth	1.000	9
shem	shem	1.000	17
peleg	peleg	1.000	8
terah	terah	1.000	12
haran	haran	1.000	19
milcah	milcah	1.000	10
mamre	mamre	1.000	10
kiriath	kiriath	1.000	34
ephron	ephron	1.000	12
eliphaz	eliphaz	1.000	14
shobal	shobal	1.000	9
hezron	hezron	1.000	19
hormah	hormah	1.000	8
abiram	abiram	1.000	9
pisgah	pisgah	1.000	8
edrei	edrei	1.000	8
hepher	hepher	1.000	11
aroer	aroer	1.000	15
hinnom	hinnom	1.000	11
dagon	dagon	1.000	9
barak	barak	1.000	13
zalmunna	zalmunna	1.000	9
zebah	zalmunna	1.000	9
gilboa	gilboa	1.000	8
nathan	nathan	1.000	40
ahithophel	ahithophel	1.000	17
zabad	zabad	1.000	8
shealtiel	shealtiel	1.000	12
akkub	akkub	1.000	8
uzzi	uzzi	1.000	11
amariah	amariah	1.000	14
immer	immer	1.000	10
haggai	haggai	1.000	11
sherebiah	sherebiah	1.000	8
vashti	vashti	1.000	10
memphis	memphis	1.000	8
abednego	abednego	1.000	14
shadrach	abednego	1.000	14
belteshazzar	belteshazzar	1.000	8
sadducee	sadducees	1.000	14
zebedee	zebedee	1.000	11
ananias	ananias	1.000	10
philip	philip	0.985	34
zadok	zadok	0.980	49
ramoth	ramoth	0.980	25
joel	joel	0.976	20
ekron	ekron	0.974	19
perez	perez	0.973	18
kish	kish	0.973	19
cain	cain	0.971	18
libnah	libnah	0.971	18
tirzah	tirzah	0.970	16
asahel	asahel	0.970	16
omri	omri	0.970	17
hermon	hermon	0.968	16
keilah	keilah	0.968	15
gedaliah	gedaliah	0.967	29
mattaniah	mattaniah	0.966	14
eliashib	eliashib	0.966	14
obed	obed	0.963	28
hushai	hushai	0.963	14
iddo	iddo	0.963	13
mordecai	mordecai	0.962	54
hananiah	hananiah	0.962	25
miriam	miriam	0.960	12
saiha	ivory	0.960	12
lebanon	lebanon	0.959	59
meshullam	meshullam	0.958	23
darius	darius	0.958	24
sodom	sodom	0.957	46
enoch	enoch	0.957	11
ezer	ezer	0.957	11
abihu	abihu	0.957	11
dibon	dibon	0.957	12
ziklag	ziklag	0.957	11
tabor	tabor	0.957	12
harim	harim	0.957	12
thomas	thomas	0.957	12
leah	leah	0.955	35
sihon	sihon	0.955	33
japheth	japheth	0.952	10
padan	paddan	0.952	10
bilhah	bilhah	0.952	10
kenaz	kenaz	0.952	10
beriah	beriah	0.952	11
jazer	jazer	0.952	10
ashkelon	ashkelon	0.952	10
abner	abner	0.952	52
zephaniah	zephaniah	0.952	11
gog	gog	0.952	11
jeduthun	jeduthun	0.952	10
simon	simon	0.951	72
micah	micah	0.951	31
gaza	gaza	0.950	21
asher	asher	0.950	41
nadab	nadab	0.950	20
jezebel	jezebel	0.950	20
samuel	samuel	0.948	128
zoar	zoar	0.947	10
bethuel	bethuel	0.947	9
arba	arba	0.947	10
joab	joab	0.947	123
obadiah	obadiah	0.947	19
kir	kir	0.947	9
rezin	rezin	0.947	9
joah	joah	0.947	9
susa	susa	0.947	19
shelemiah	shelemiah	0.947	9
caiaphas	caiaphas	0.947	10
sarah	sarah	0.946	38
nahor	nahor	0.944	18
issachar	issachar	0.944	35
eliab	eliab	0.944	17
jehoiakim	jehoiakim	0.944	35
ezra	ezra	0.943	28
abimelech	abimelech	0.943	62
tubal	tubal	0.941	8
hebron	hebron	0.941	69
bozrah	bozrah	0.941	8
mushi	mushi	0.941	9
zin	zin	0.941	8
hazor	hazor	0.941	16
bicri	bichri	0.941	9
cilicia	cilicia	0.941	9
menahem	menahem	0.941	9
nehemiah	nehemiah	0.941	9
caesarea	caesarea	0.941	17
zebulun	zebulun	0.940	41
shiloh	shiloh	0.939	35
johanan	johanan	0.939	24
baruch	baruch	0.939	25
gilead	gilead	0.938	121
caleb	caleb	0.935	40
gomorrah	gomorrah	0.933	21
hur	hur	0.933	14
jonathan	jonathan	0.933	104
ahimaaz	ahimaaz	0.933	15
jeroboam	jeroboam	0.933	100
michael	michael	0.933	15
daniel	daniel	0.932	73
asaph	asaph	0.931	29
ahijah	ahijah	0.930	21
haman	haman	0.930	41
merari	merari	0.930	34
bela	bela	0.929	14
bani	bani	0.929	14
eliakim	eliakim	0.929	14
festus	festus	0.929	15
elam	elam	0.926	26
aaron	aaron	0.925	346
bethel	bethel	0.924	68
nebo	nebo	0.923	13
joppa	joppa	0.923	12
andrew	andrew	0.923	14
tyre	tyre	0.922	59
pilate	pilate	0.920	59
esther	esther	0.920	42
eden	eden	0.919	18
khoiju	honey	0.919	54
gilgal	gilgal	0.919	35
hadadezer	hadadezer	0.919	19
seraiah	seraiah	0.919	19
jeremiah	jeremiah	0.919	147
hilkiah	hilkiah	0.918	30
pharisee	pharisees	0.917	95
hamor	hamor	0.917	11
peor	peor	0.917	11
jair	jair	0.917	13
gezer	gezer	0.917	11
amoz	amoz	0.917	11
magdalene	magdalene	0.917	12
beersheba	beersheba	0.915	27
arnon	arnon	0.913	23
og	og	0.913	24
zeruiah	zeruiah	0.913	21
ramah	ramah	0.912	33
jordan	jordan	0.912	195
hezekiah	hezekiah	0.911	126
david	david	0.910	924
lamech	lamech	0.909	11
gerar	gerar	0.909	12
ophir	ophir	0.909	10
mahli	mahli	0.909	11
phinehas	phinehas	0.909	20
michal	michal	0.909	17
abinadab	abinadab	0.909	10
jehoshaphat	jehoshaphat	0.909	68
athaliah	athaliah	0.909	16
capernaum	capernaum	0.909	17
iscariot	iscariot	0.909	11
barabbas	barabbas	0.909	12
apollos	apollos	0.909	12
noah	noah	0.907	57
damascus	damascus	0.906	50
thinggi	acacia	0.906	25
rachel	rachel	0.905	50
pharaoh	pharaoh	0.904	220
succoth	succoth	0.903	14
jeshua	jeshua	0.903	33
jotham	jotham	0.902	27
saul	saul	0.901	354
paran	paran	0.900	9
dedan	dedan	0.900	10
kedar	kedar	0.900	9
deborah	deborah	0.900	10
elkanah	elkanah	0.900	20
hyssop	hyssop	0.900	9
zorah	zorah	0.900	10
jabesh	jabesh	0.900	19
hanani	hanani	0.900	10
ahaziah	ahaziah	0.900	30
hamath	hamath	0.899	34
seir	seir	0.899	31
manasseh	manasseh	0.898	128
jehoiada	jehoiada	0.898	49
baasha	baasha	0.898	23
shallum	shallum	0.898	23
balaam	balaam	0.898	68
eber	eber	0.897	13
heman	heman	0.897	15
elah	elah	0.897	14
myrrh	myrrh	0.897	13
ahitub	ahitub	0.897	14
malkijah	malchijah	0.897	14
benjamin	benjamin	0.896	169
absalom	absalom	0.895	84
nabal	nabal	0.895	20
asia	asia	0.895	20
joshua	joshua	0.894	204
nebat	nebat	0.894	22
uriah	uriah	0.892	35
mizpah	mizpah	0.892	34
jericho	jericho	0.891	61
en	en	0.889	18
korah	korah	0.889	29
er	er	0.889	10
gera	gera	0.889	9
barnea	barnea	0.889	8
jearim	jearim	0.889	18
ashdod	ashdod	0.889	18
bethlehem	bethlehem	0.889	52
manoah	manoah	0.889	13
nahash	nahash	0.889	9
micmash	michmash	0.889	9
achish	achish	0.889	16
barzillai	barzillai	0.889	8
adaiah	adaiah	0.889	9
eliel	eliel	0.889	8
tobiah	tobiah	0.889	13
sanballat	sanballat	0.889	8
titus	titus	0.889	15
ammon	ammon	0.886	104
solomon	solomon	0.885	285
isaiah	isaiah	0.885	60
isaac	isaac	0.885	146
rimmon	rimmon	0.882	16
thingkong	ark	0.882	162
ahaz	ahaz	0.881	43
eliezer	eliezer	0.880	11
mahanaim	mahanaim	0.880	13
horon	horon	0.880	13
agrippa	agrippa	0.880	13
jesse	jesse	0.878	39
maaseiah	maaseiah	0.878	18
samaria	samaria	0.878	124
bashan	bashan	0.878	46
rabbah	rabbah	0.875	18
naomi	naomi	0.875	27
abishai	abishai	0.875	24
naboth	naboth	0.875	14
hanan	hanan	0.875	14
gad	gad	0.873	88
asherah	asherah	0.873	34
xerxes	ahasuerus	0.873	25
ephesus	ephesus	0.872	22
elijah	elijah	0.871	115
gershom	gershom	0.870	10
amnon	amnon	0.870	24
shephatiah	shephatiah	0.870	10
bethany	bethany	0.870	11
martha	martha	0.870	11
adonijah	adonijah	0.868	27
mose	moses	0.867	751
sheba	sheba	0.866	35
esau	esau	0.865	85
antioch	antioch	0.865	19
jepthah	jephthah	0.863	25
abiathar	abiathar	0.863	22
peter	peter	0.862	198
shimei	shimei	0.861	39
gibeah	gibeah	0.861	37
